#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G72E	43651	15450	27518	22448	10744	11704	2505	558573	534853	22480	54982	555651	486765	26978	41908	2922	747	1852	155	168
B00G72F	43663	15426	27547	22471	10740	11731	2448	558595	534845	22509	55020	555603	487005	26653	41945	2992	705	1948	146	193
B00G72G	43670	15483	27501	22438	10720	11718	2575	558494	534763	22497	55040	555577	486861	27618	41098	2917	789	1787	177	164
B00G72Y	43829	15564	27571	22493	10769	11724	2155	558700	534975	22487	55042	555713	486977	26827	41909	2987	784	1865	167	171
B00G72X	43765	15576	27498	22478	10754	11724	2330	558604	534870	22507	55011	555639	487896	27258	40485	2965	821	1791	173	180
B00G739	43518	15327	27484	22355	10736	11619	2872	558432	534746	22468	54984	555427	486813	26718	41896	3005	789	1897	144	175
B00G72Z	43779	15557	27541	22498	10762	11736	1951	558949	535178	22533	55084	555908	487515	27379	41014	3041	721	1993	165	162
B00G72Q	43762	15554	27529	22529	10748	11781	1990	558896	535090	22566	55104	555825	486768	26988	42069	3071	772	1934	173	192
B00G732	43546	15416	27439	22369	10722	11647	3487	557775	534134	22421	54868	554861	486833	26786	41242	2914	757	1845	126	186
B00G72P	43697	15483	27525	22498	10752	11746	2512	558470	534774	22472	55011	555524	487082	26855	41587	2946	767	1802	205	172
B00G731	43681	15465	27528	22423	10754	11669	2592	558481	534773	22467	54975	555676	488243	26681	40752	2805	747	1726	168	164
B00G72S	43731	15505	27536	22485	10755	11730	2072	558889	535134	22513	55079	555928	487212	27218	41498	2961	730	1926	148	157
B00G734	43569	15403	27483	22504	10753	11751	2449	558655	534913	22502	55071	555604	486629	26589	42386	3051	725	1981	176	169
B00G72R	43695	15488	27526	22439	10714	11725	2357	558686	534965	22486	55047	555733	487396	26684	41653	2953	718	1909	159	167
